ticker,weight,sector
MILS3,0.004176839257336176,Serviços Transporte e Logística
DESK3,0.004175675434949231,Telecomunicações
TIMS3,0.004175439680882783,Telecomunicações
JALL3,0.004175170575314593,"Agricultura (Açúcar, Álcool e Cana)"
RANI3,0.004175041273389547,Embalagens
VSTE3,0.004172779233984123,Emp. Adm. Part. - Comércio (Atacado e Varejo)
RIAA3,0.0041725726485200626,Têxtil e Vestuário
AMOB3,0.004172526936650365,Serviços Transporte e Logística
ENEV3,0.004171105041762628,Energia Elétrica
WLMM4,0.004171046403469302,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças"
DXCO3,0.00416891193463815,"Construção Civil, Mat. Constr. e Decoração"
LOGN3,0.00416642637612265,Serviços Transporte e Logística
GOAU4,0.004163770584465681,Emp. Adm. Part. - Metalurgia e Siderurgia
MBRF3,0.004163081421223814,Alimentos
PGMN3,0.004162664938825942,Comércio (Atacado e Varejo)
SBSP3,0.0041623754684736065,"Saneamento, Serv. Água e Gás"
VIVA3,0.00416221390043425,Comércio (Atacado e Varejo)
SIMH3,0.004161465393448036,Serviços Transporte e Logística
SCAR3,0.004159319834111983,Emp. Adm. Part. - Sem Setor Principal
REDE3,0.0041532816016392445,Energia Elétrica
MTRE3,0.004151522777659018,"Construção Civil, Mat. Constr. e Decoração"
COGN3,0.004149431729114765,Emp. Adm. Part. - Educação
RADL3,0.004148878860347741,Comércio (Atacado e Varejo)
CLSC4,0.004144027579889373,Energia Elétrica
DIRR3,0.004142784137708835,"Construção Civil, Mat. Constr. e Decoração"
QUAL3,0.004142526342023813,Seguradoras e Corretoras
BMGB4,0.004142435453661222,Bancos
CEBR6,0.004142169964274008,Energia Elétrica
CSNA3,0.004139538457023187,Metalurgia e Siderurgia
LEVE3,0.004138930483177908,"Máquinas, Equipamentos, Veículos e Peças"
PINE4,0.0041379004386667044,Bancos
AALR3,0.004133897133876847,Serviços Médicos
BBSE3,0.004132653036520524,Emp. Adm. Part. - Seguradoras e Corretoras
BMKS3,0.004130836823087927,Brinquedos e Lazer
INEP3,0.004130567474251575,"Máquinas, Equipamentos, Veículos e Peças"
CBAV3,0.004129742654371001,Extração Mineral
BRST3,0.004129312284144523,Telecomunicações
BSLI3,0.0041288888322849075,Bancos
MDNE3,0.00412885885614415,"Construção Civil, Mat. Constr. e Decoração"
WEST3,0.00412762725778767,Comércio (Atacado e Varejo)
BBAS3,0.0041272707741730336,Bancos
DMVF3,0.004126718386877052,Comércio (Atacado e Varejo)
BBDC4,0.004125200452637318,Bancos
LREN3,0.0041242342069612485,Comércio (Atacado e Varejo)
TOTS3,0.004119864686517577,Comunicação e Informática
CGRA4,0.004119264163592095,Comércio (Atacado e Varejo)
CEEB3,0.004116500338970296,Energia Elétrica
WDCN3,0.0041108728350448525,Comércio (Atacado e Varejo)
HBOR3,0.004110491881476062,"Construção Civil, Mat. Constr. e Decoração"
EVEN3,0.004107426733445064,"Construção Civil, Mat. Constr. e Decoração"
ITSA4,0.004105732228268583,Emp. Adm. Part. - Intermediação Financeira
CVCB3,0.004104019567366017,Hospedagem e Turismo
VULC3,0.004100382523687712,Têxtil e Vestuário
UCAS3,0.004099353484307559,"Construção Civil, Mat. Constr. e Decoração"
RDOR3,0.004099284179998931,Serviços Médicos
FIQE3,0.004096479055261348,Emp. Adm. Part. - Telecomunicações
COCE5,0.0040937356729482755,Energia Elétrica
ECOR3,0.004091935505344062,Serviços Transporte e Logística
POMO4,0.004090694769107235,"Máquinas, Equipamentos, Veículos e Peças"
HBRE3,0.0040885208751488804,"Construção Civil, Mat. Constr. e Decoração"
BAZA3,0.00408829076516178,Bancos
INTB3,0.004085020776418246,Comércio (Atacado e Varejo)
AERI3,0.004080409059113687,"Máquinas, Equipamentos, Veículos e Peças"
PLPL3,0.004080029537879797,"Construção Civil, Mat. Constr. e Decoração"
RNEW4,0.004078119046422428,Energia Elétrica
SMTO3,0.004075582711473716,"Agricultura (Açúcar, Álcool e Cana)"
USIM5,0.004073963233537108,Metalurgia e Siderurgia
HAPV3,0.004072281175862045,Serviços Médicos
VLID3,0.0040720570692729646,Comunicação e Informática
CAMB3,0.00407081700723646,Têxtil e Vestuário
AZTE3,0.004068551035459735,Petróleo e Gás
ATED3,0.0040678866121241775,Educação
HAGA4,0.004065937524740291,Metalurgia e Siderurgia
LAVV3,0.004063630822190241,"Construção Civil, Mat. Constr. e Decoração"
ALLD3,0.004063257266320141,Comércio (Atacado e Varejo)
VBBR3,0.00406267864230386,Comércio (Atacado e Varejo)
ESPA3,0.004059565796466164,Serviços Médicos
WHRL4,0.004054840588207331,"Máquinas, Equipamentos, Veículos e Peças"
POSI3,0.004054470000276326,Comunicação e Informática
WIZC3,0.0040537051415151515,Seguradoras e Corretoras
ENMT3,0.004053312256794095,Energia Elétrica
CPLE3,0.0040510857890987935,Energia Elétrica
VTRU3,0.004048924158208209,Educação
GFSA3,0.004047738624325557,"Construção Civil, Mat. Constr. e Decoração"
AURE3,0.0040475349347599545,Energia Elétrica
MOVI3,0.00404535014445538,Serviços Transporte e Logística
MGEL4,0.004044214108604576,Emp. Adm. Part. - Metalurgia e Siderurgia
PRIO3,0.0040393867981604594,Petróleo e Gás
ANIM3,0.004037827987290239,Educação
BNBR3,0.00403616550273801,Bancos
EQTL3,0.004034060651522627,Energia Elétrica
CGAS5,0.004028890592207985,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás"
CYRE3,0.004027333356360106,"Construção Civil, Mat. Constr. e Decoração"
BEEF3,0.0040268041158015595,Alimentos
ALOS3,0.004026064018775201,Emp. Adm. Part. - Comércio (Atacado e Varejo)
VIVR3,0.004025419340312127,"Construção Civil, Mat. Constr. e Decoração"
BRSR6,0.00402517464537768,Bancos
MYPK3,0.004024434428054776,"Máquinas, Equipamentos, Veículos e Peças"
LJQQ3,0.00402166693788101,Comércio (Atacado e Varejo)
ETER3,0.004019981140995394,"Construção Civil, Mat. Constr. e Decoração"
ALPA4,0.0040131444761204865,Têxtil e Vestuário
ARND3,0.00401163100130113,Emp. Adm. Part. - Intermediação Financeira
ORVR3,0.00401143344000749,"Saneamento, Serv. Água e Gás"
LOGG3,0.004010611557965341,"Construção Civil, Mat. Constr. e Decoração"
PETR4,0.004009815731312835,Petróleo e Gás
VAMO3,0.004002552334825354,Serviços Transporte e Logística
GEPA4,0.004001491700537476,Energia Elétrica
RENT3,0.003998178057689628,Serviços Transporte e Logística
AFLT3,0.003988418177961966,Energia Elétrica
MRVE3,0.003985257719393999,"Construção Civil, Mat. Constr. e Decoração"
BEES3,0.003980867878248162,Bancos
CSED3,0.003979924052919743,Educação
ENJU3,0.003977532358726352,Comércio (Atacado e Varejo)
TELB4,0.003977391358250463,Telecomunicações
TASA4,0.003975876896321288,"Máquinas, Equipamentos, Veículos e Peças"
CEAB3,0.003974382791455806,Têxtil e Vestuário
PNVL3,0.003971929410477154,Comércio (Atacado e Varejo)
MATD3,0.003968842399605975,Serviços Médicos
LAND3,0.003968413921256104,"Agricultura (Açúcar, Álcool e Cana)"
DASA3,0.003964433275365375,Serviços Médicos
TECN3,0.003964369918299571,Comércio (Atacado e Varejo)
TFCO4,0.003961207797400298,Têxtil e Vestuário
BMEB4,0.003957695487451494,Bancos
OFSA3,0.003954696574214792,Comércio (Atacado e Varejo)
SLCE3,0.0039474787129917446,"Agricultura (Açúcar, Álcool e Cana)"
RCSL4,0.0039462106846073495,"Máquinas, Equipamentos, Veículos e Peças"
TUPY3,0.003945574265645093,Metalurgia e Siderurgia
GGPS3,0.00394091872100001,Emp. Adm. Part. - Sem Setor Principal
HBSA3,0.003919759604939694,Serviços Transporte e Logística
